NRIC,Name,Gender,Blood type,Disease,Age,Zipcode,BMI
F7626063Y,James Hale,F,AB,Diphtheria,53,206655,32.5
F8893143P,Norman Mack,F,O,Rabies,27,507601,26.0
S0964644W,Arturo Shook,M,O,Rabies,45,546982,26.8
G4978857F,Jason Cacho,M,A,Hepatitis,86,541946,21.2
G9168832P,Katrina Henry,F,AB,Cholera,52,448854,39.1
F1555551M,Katelin Gaietto,M,O,Rubella,47,116401,28.8
G9522709L,William Hunter,M,B,Hepatitis,44,764374,28.0
S9926583J,Thomas Rubins,M,A,Cholera,21,225633,25.4
T9484666E,Arleen Johnson,M,AB,Typhoid,34,268758,21.9
T8367422Z,Jed Hansen,M,A,Rabies,65,461800,24.6
G2821377U,Laurie Hoffman,F,B,Plague,48,697614,31.6
T6364087D,Gary Lee,F,B,Plague,86,702243,27.5
G3543819L,Thomas Williams,M,B,Pneumococcal,35,593633,20.8
S0017388V,Stephen Lomax,M,AB,Smallpox,72,460151,19.6
S9578382S,Patty May,M,O,Food Poisoning,40,165006,32.4
T0949864D,Christina Walker,M,B,Chickenpox,44,619792,25.1
G6249802G,Toby Campbell,F,O,Chikungunya,25,298616,22.7
F8454442P,Roslyn Hirst,F,B,Plague,70,206960,20.8
T4366238L,James Mace,M,O,Anthrax,54,139980,25.8
T2489466V,Kevin Cloud,M,A,Influenza,18,633472,31.6
G8729575U,John Duggins,F,A,Hepatitis,36,606518,31.9
G6060392X,Norma Schroeder,F,B,Pneumococcal,40,371436,26.7
G7802578I,Alicia Brown,M,A,Smallpox,74,612688,20.6
F8338548Y,Patricia Marotta,M,AB,Plague,30,414253,25.6
G6949199F,Harry Cook,F,AB,COVID-19,20,777163,23.5
G5824654L,Lisa Hall,M,O,Tuberculosis,37,778132,36.6
S1765499U,Anthony Meyer,F,AB,Pneumococcal,33,570720,36.8
T2656207H,Hulda Evans,F,B,HIV/ AIDS,73,622300,36.5
G4915803A,Mable Brown,F,O,Chickenpox,45,679690,38.4
T2384661V,Nathan Encallado,M,A,Chikungunya,75,402532,38.5
S3170483Z,Mindy Martinez,F,B,Mumps,59,374846,33.9
G5109326O,Esther Looney,M,B,Measles,63,158289,25.6
G7794704E,Janine Swope,M,O,Anthrax,47,588585,33.1
S3628335A,Nicole Schwartz,F,AB,Diphtheria,19,493056,34.1
G1004774L,Janice Holien,F,A,Nipah,26,741481,19.5
G1284471J,Alethia Finnegan,M,AB,Plague,24,666528,29.2
S0982339F,Retta Johnson,M,O,Pneumococcal,67,697934,19.4
G8629278I,Milton Castillo,M,B,Nipah,31,373433,33.2
G1566186Y,Shirley Lemmon,F,O,Rubella,70,340134,26.8
S4736823B,Robert Cooke,M,A,Typhoid,84,179421,18.6
F6820040F,Cindy Mendoza,M,O,Hepatitis,53,732452,24.0
F7265190S,Maria Frezzo,M,B,Typhoid,58,454893,22.5
F1372683Q,Fredrick Todd,F,O,Plague,59,233269,22.3
F0035833Y,William Shiroma,M,AB,Plague,62,524507,21.9
S7494834K,Traci Rush,F,O,Typhoid,38,178443,23.0
S9323467X,Patricia Brooks,F,O,Chickenpox,48,598744,20.0
T5551177W,Chad Beagle,M,O,Smallpox,32,368993,35.1
S1390221P,Lisa Moran,F,O,Anthrax,52,293853,23.9
S6920000X,Reginald Woods,M,A,Hepatitis,75,324507,26.9
S0658073Y,Michael Herrera,M,AB,Measles,42,214968,20.8
S1326218E,Ngoc Durbin,M,A,Tuberculosis,52,421017,28.0
G9850167V,Leon Figures,M,A,Malaria,21,744535,39.5
F6534533H,Melissa Miller,M,O,Anthrax,20,566923,39.8
F9712803T,Wendolyn Cox,M,A,Nipah,52,434366,38.6
T2825763R,Leonardo Tew,M,AB,Smallpox,61,265495,20.3
T3237436Y,John Ferretti,M,A,Influenza,53,646999,31.3
F8620956S,Elsie Delgado,F,B,Cholera,23,134425,34.8
S9646981Z,Diane Leroy,M,AB,Tuberculosis,33,602512,34.8
S2002005Z,Thomas Cullen,F,O,Influenza,84,170548,27.4
T3767468K,Anthony Mcelhaney,M,AB,Typhoid,75,663751,37.7
G7501431A,Jenifer Harper,F,B,Measles,61,514335,21.2
S2801991X,Jason Zastrow,M,AB,Mumps,75,722087,31.4
T7436983N,Shirley Jones,F,A,HIV/ AIDS,26,689749,27.8
S6929165U,Bernard Eaton,M,A,Anthrax,72,239988,34.8
T6918948J,Danielle Warren,F,O,Influenza,30,234013,34.8
T6713637B,Kathy Olson,F,A,Tuberculosis,58,245311,35.0
G3927654O,Alice Hanlin,M,AB,Dengue,36,333182,38.0
S6204188W,Joseph Kittleson,F,A,Conjunctivitis,60,335304,21.1
G8734476C,Beverly Hayworth,M,B,Food Poisoning,30,707960,22.9
T2847130L,Bryan Avalos,F,B,Cholera,20,337543,31.4
S7794664Y,Cheri Moore,M,B,Pneumococcal,26,157503,37.7
F5456569H,Diana Wells,M,AB,Measles,21,322355,31.8
T3943164J,Tina White,F,O,Anthrax,49,291233,39.3
G0551219D,Kenneth Rhein,F,B,Cholera,54,610594,25.3
G0357589S,Adeline Ramsour,F,B,Mumps,81,645053,21.3
G2989850U,Douglas Davis,M,A,Measles,26,466003,21.3
G4259791Y,Patricia Lee,F,A,Rabies,63,176468,38.2
G0647155J,Gary Bailey,M,AB,Influenza,29,659590,30.1
T6129317S,Jessica Legette,F,O,Rabies,50,468861,35.8
F3654765R,Brandy Volo,F,AB,Dengue,42,706755,31.1
G7537482Q,Caroline Hsu,M,O,Rabies,88,512792,19.5
G9073268X,Donna Pipkin,F,AB,Rabies,55,795529,35.2
G0160850G,Susana Griffin,M,B,Conjunctivitis,83,493882,31.9
G4852684G,Benito Baldwin,F,O,Conjunctivitis,46,198296,35.3
S9513945H,Travis West,M,O,Chikungunya,78,684953,19.6
G3604593P,Jose Sutter,M,B,Smallpox,78,312229,21.5
T2930997C,Chris Calvello,M,B,Hepatitis,55,185841,27.2
S6623450B,Jennifer Verstraete,F,A,Dengue,73,430371,23.2
S3853552J,Nancy Hallaway,M,AB,Rubella,43,644468,37.0
T4292467L,Jeanna Engles,F,A,Plague,44,106404,24.2
T8522262V,Donald Johnson,M,AB,Chikungunya,48,737311,22.3
F1019848I,Roberta Yager,M,A,Rubella,61,587095,23.8
F3409205O,Antonia Ashby,M,A,Influenza,62,460978,24.5
F8172111L,Deidra Pignataro,F,AB,Nipah,78,336914,32.0
G0348634V,William South,M,A,Nipah,66,341865,20.6
G9848617W,Leonard Cope,F,B,Pneumococcal,38,729886,29.2
G4126560W,Sondra Ernst,M,AB,Tuberculosis,32,344788,22.4
S4347887S,Edna Harkins,M,A,Chickenpox,60,518678,36.9
F2745515Y,Margaret Taylor,F,O,Pneumococcal,32,642053,24.1
T2816968O,Jonathan Guzman,M,B,Dengue,22,271114,23.1
G5174495A,Mable Hatfield,F,A,COVID-19,89,160492,37.9
F9725288V,Scott Mosher,F,AB,Rubella,80,303250,27.2
F8792538E,Irene Meyer,F,A,Cholera,66,611628,20.4
F3786612M,Beth Zieba,M,A,COVID-19,42,115293,22.6
S1716777G,Rebekah Ruckman,M,A,Nipah,37,751623,29.6
T2859865E,Mary Shaw,F,B,Diphtheria,57,595699,24.4
S0459079N,Travis Ohanlon,F,AB,Chikungunya,65,589479,37.4
G5975620X,Andrew Edwards,F,B,Dengue,33,265211,26.1
G7617273L,David Chasse,M,A,Chikungunya,69,277549,25.1
S0861043L,Susan Buri,F,B,Chikungunya,67,462176,23.2
S8969875Y,Glenn Shaw,F,O,Hepatitis,81,557228,22.9
S8565558I,Benjamin Mohr,M,A,Nipah,20,594417,36.2
F2795625X,Eugene Taylor,M,AB,Nipah,30,137075,24.3
S9607298C,Larry Hughes,F,B,Dengue,67,728754,32.1
G3463196V,Eddie Black,M,A,Pneumococcal,25,282803,26.5
G5666625U,Mark Chase,M,AB,Influenza,47,157048,28.8
T1091205M,Debra Valliere,M,B,COVID-19,70,163134,34.3
F1060578D,Robert Romano,F,AB,Cholera,29,338307,39.4
F7270675Y,Ted Guerrero,M,O,Cholera,33,790545,26.9
F5863012O,Dorothy Sundquist,M,O,Typhoid,18,202016,35.1
G7215679U,Vicky Heckel,M,B,Influenza,48,491998,39.2
G0405747F,Lynn Schroer,M,A,Malaria,45,609531,33.4
G3991590U,Michael Farnham,F,A,Smallpox,52,116934,36.3
S0685800L,Eleanor Sneed,F,A,Smallpox,65,733798,24.3
F5805661A,Randy Cowan,M,O,Tuberculosis,81,150416,26.8
G7407708B,Amy Carl,M,O,Rubella,84,326832,33.1
T5600637Z,Leticia Zapien,F,A,Mumps,53,323017,34.4
T4463532Y,John Walker,F,O,COVID-19,84,163333,30.4
S3327715E,Dallas Wade,F,AB,Anthrax,46,167040,36.7
S5766414L,Elma Boles,F,AB,Chikungunya,22,130991,38.2
S6097843L,Ralph Malone,M,O,Nipah,40,418209,38.7
S3803994O,Stephen Greenawalt,F,O,Malaria,89,300016,21.7
S6224641Z,David Sparks,M,AB,Food Poisoning,50,510999,24.4
T1181191U,Jennifer Strock,M,O,Anthrax,60,626936,28.9
G4545662O,Vince Barron,F,O,Dengue,44,321665,19.5
S3651580Q,Edna Stafford,M,B,Rabies,37,602855,18.9
G5121069B,Roger Vargas,M,B,Rabies,86,334342,39.8
F9938106F,Amy Beasley,M,B,Rabies,44,732040,20.6
T1414869A,Georgia Joe,F,AB,Pneumococcal,60,671013,33.8
S8747136K,Jeff Lockhart,M,AB,Pneumococcal,86,340540,38.2
S2003053Q,Curtis Dennis,M,AB,Plague,31,228964,26.5
G7813642U,Bessie Merrill,M,O,Measles,67,209086,23.2
T0893381P,Shirley Lowell,M,A,Anthrax,83,549230,34.0
F2835645Z,Derek Griggs,M,A,Rabies,63,455106,26.3
G2773445E,Annette Summerlin,M,B,Conjunctivitis,33,735047,37.7
F2299122T,Fanny Stahl,F,A,Diphtheria,25,509778,27.3
G4626548S,Daniel Dorsey,F,A,Chickenpox,64,312233,28.0
F1202289W,Catherine Sietsma,M,AB,Anthrax,25,525508,28.4
T7656374B,Emma Sprinkle,M,O,Influenza,41,577687,36.4
F1869497D,Ora Chavez,M,A,Measles,69,490842,21.6
G8886389Q,Isaac Reyna,F,A,Hepatitis,82,774844,29.1
S2570714D,Wilma Phillips,M,O,Tuberculosis,57,520778,39.1
G2237576G,Camille Pierce,M,O,Chikungunya,50,119055,36.6
F8932350E,Paul Depew,M,O,Cholera,44,142252,28.3
S6014506U,Lynn Kohler,F,B,Plague,61,577729,36.1
F2364556S,Scott Riecke,F,AB,Malaria,45,178662,27.0
S8054901H,Antonio Wolf,M,AB,Conjunctivitis,84,317391,36.4
G5850340O,Steve Conrad,M,A,Chikungunya,47,125318,19.2
S6768546N,Phillip Atkins,F,A,Rabies,47,755699,23.2
G5542055V,John Herring,F,B,Chickenpox,65,636992,28.5
G1900538I,Joseph Pardo,F,O,Influenza,36,668046,33.6
F8927738H,Cindy Espinoza,M,B,Tuberculosis,33,613547,34.0
S4360949O,Marilyn Wright,F,AB,Malaria,43,609480,19.8
G4515406R,Ryan Mendoza,F,AB,Plague,53,343354,37.9
F5164349B,James Scott,F,A,Chickenpox,54,372209,36.5
T8025867H,Evan Todd,M,AB,Nipah,83,366673,27.0
F3060095L,Verna Montano,M,AB,Smallpox,66,744419,26.0
F4830090A,Perry Price,F,O,Typhoid,81,262052,25.1
F3619334K,Numbers Lawing,F,B,Hepatitis,80,395751,23.2
G4597613O,Shannon Autry,F,B,Rabies,45,514403,35.9
F7006869R,Donald Nelson,M,A,Cholera,87,290943,28.1
F4699609J,James Wedgewood,M,AB,Cholera,80,182992,28.5
S0316833I,Elizabeth Williams,M,A,Pneumococcal,68,764806,28.0
T4914752A,Jeremy Holland,M,AB,Typhoid,22,450539,38.7
G9117520D,Helen Stclair,F,B,Smallpox,63,457555,24.2
F6908773Y,Linda Racine,F,B,Smallpox,18,711781,26.6
F9817560B,Bonnie Sumpter,F,A,HIV/ AIDS,70,408046,22.9
S2228040G,Yvonne Lockridge,M,B,Conjunctivitis,58,636612,30.9
T3823312B,Robert Schlarbaum,M,A,Typhoid,60,683809,21.0
G8813154W,Charleen Stauffer,F,O,Typhoid,24,580444,20.5
F7556451G,Naomi Hare,M,A,Tuberculosis,21,340624,29.0
S5053350L,Iris Hiller,M,O,Chikungunya,24,209846,27.6
S3320611S,Kristie Pasco,F,AB,Food Poisoning,44,678415,33.1
S9149459X,Evan Hernandez,F,O,Malaria,49,142958,33.0
F9481814D,Lana Young,F,B,HIV/ AIDS,78,638077,19.2
G9945855M,Mary Reynolds,F,O,Typhoid,88,251544,30.7
T2443593V,Joe Chavez,M,B,Rabies,63,807110,32.4
T4419190W,Tiffany Garnand,F,A,Anthrax,88,597524,30.4
G8504896Y,Linda Matlock,M,B,Food Poisoning,68,115953,22.6
T5936835C,Angela Long,F,O,Typhoid,88,769239,27.0
G8611275G,Barbara Channell,M,AB,COVID-19,60,687109,32.3
G7478038I,Hilda Ferguson,F,A,Hepatitis,33,680713,26.1
F3774720A,Robert Lheureux,F,AB,Typhoid,69,541606,26.3
G8413730Q,Margaret Mccoy,M,O,Plague,45,204400,36.2
F5013840A,Clifford Druvenga,M,AB,Diphtheria,76,345423,19.6
G3575268P,Warren Martinez,M,AB,Mumps,89,475371,39.3
S2233770K,Eva Angelo,M,B,Measles,33,623301,24.9
G8255326Q,Cindy Belcher,M,A,Measles,29,680679,33.1
S4782795R,Russell Keller,M,AB,Plague,84,286088,24.0
T2110780I,Joesph Mccoy,M,B,Anthrax,89,458333,19.2
G2546282F,Cathy Clark,F,O,HIV/ AIDS,84,565250,20.1
T7081071T,Lewis Bauer,F,AB,Conjunctivitis,30,207182,39.9
G5214019V,Florencia Shippee,M,B,Anthrax,65,294133,26.7
F5598923I,Donald Williams,M,O,Smallpox,20,155080,25.4
S1606589V,Frederica Young,M,B,Hepatitis,29,205231,22.0
G2712083U,Karen Arroyo,M,AB,Tuberculosis,70,508696,18.7
T0459543Z,Stacy Hill,M,B,Tuberculosis,48,802403,23.0
G3568430B,Sue Oliveros,M,O,Mumps,73,800017,27.7
S1131559Y,Dennis Dugat,F,B,Conjunctivitis,66,545784,33.7
F3698585N,Amber Frederick,M,B,Typhoid,18,462231,29.4
S4256499N,Brandon Maze,M,B,Influenza,37,490024,23.2
G0081225L,Michele Mcginness,M,O,Tuberculosis,30,707234,39.8
G8751349O,John Mashack,F,B,Rabies,46,283578,20.6
G6075425J,Jannie Luna,M,A,Rabies,87,775287,18.7
F7213561B,Alfred Sharp,M,B,Chickenpox,19,525395,39.2
T2313017U,Juan Carrington,M,O,Mumps,29,181979,31.0
S7122543K,Barbara Calderon,M,B,Anthrax,62,201656,21.6
S7981148Z,Ronald Melancon,M,AB,Malaria,53,636800,35.3
T5497829D,Carlton Brueckman,F,A,Dengue,72,600059,20.1
G1706973L,Juan Corona,F,AB,Nipah,19,386351,36.7
S3386802A,Phyllis Frye,M,O,Hepatitis,58,300366,30.7
F7182538D,Walter Rzeczycki,F,AB,Pneumococcal,52,437084,33.9
S8980471M,Charlotte Rondeau,F,B,Rabies,55,102301,22.2
S4454101C,Howard Sisk,F,B,Tuberculosis,40,225620,20.9
S7842014S,Erica Sheroan,M,A,Pneumococcal,52,741124,39.8
S2283675L,Tammy Arnold,F,AB,Dengue,61,118615,36.3
S5314000P,Amber Anderson,M,AB,Rabies,62,709616,37.9
G5030758B,Sheri Brown,M,O,Rubella,69,135889,24.3
G0115049K,Margaret Becker,F,A,Anthrax,31,728191,24.6
G7432954V,Danny Lawrence,M,O,COVID-19,18,711007,26.9
G7744253E,Bryan Stonge,F,A,Tuberculosis,80,688395,24.2
S9459696L,Robert Reyes,F,A,HIV/ AIDS,30,519610,35.3
S6899980V,George Smith,M,A,Conjunctivitis,26,764272,19.6
T4677348J,Charles Clark,F,B,Tuberculosis,34,171414,18.7
G7946792I,Bryan Tritto,M,AB,HIV/ AIDS,20,303214,24.0
F2476200G,Michelle Mcguire,M,AB,Measles,19,732734,30.3
F8509875B,Gladys Redenz,M,B,Chickenpox,87,552860,27.7
F0609947O,Pamela Travers,M,AB,HIV/ AIDS,43,178001,33.6
F0462527F,Irene Monroe,M,AB,Cholera,22,802133,34.3
G8307323I,Marion Rubin,M,AB,Smallpox,46,508623,34.5
F0367424E,Hilary Butler,M,AB,Hepatitis,42,582278,35.1
T0597654N,Eduardo Athearn,M,B,Smallpox,39,346525,31.0
F5741940T,Irvin Hendricks,M,A,Rubella,31,105871,30.4
G9737865X,Forrest Solomon,F,O,Chickenpox,82,340926,25.7
F1640019F,Richard Salinas,F,A,Nipah,59,392438,32.8
T4809416Z,Tammy Garfinkle,M,A,Malaria,77,344815,31.4
T7564347N,Tommy Kallin,F,B,Malaria,59,375841,24.5
G0707196L,Jeff Morris,F,AB,Dengue,60,630199,24.1
F3018109C,Alice Nguyen,M,O,Measles,19,468411,23.9
G5149283R,Julius Burton,M,B,Cholera,30,642706,32.7
G5287541W,Katlyn Laravie,F,B,Hepatitis,84,196182,22.2
F4511379G,Geraldine Carp,F,A,COVID-19,71,591015,21.9
G6458177Z,Mary Cureton,M,B,Diphtheria,67,462776,38.4
T8312631T,Donna Morehouse,F,B,HIV/ AIDS,71,763455,20.1
S3344990N,Thomas Stone,F,AB,HIV/ AIDS,60,132480,31.4
S3173670F,David Demott,M,AB,Smallpox,58,266821,29.8
F6405475N,Salvador Jones,F,O,Tuberculosis,88,580051,20.4
G9108921O,Cruz Guerrero,M,B,Influenza,51,529422,29.6
S7420750V,Pierre Moultrie,M,A,COVID-19,89,669129,33.9
S0141466K,Hattie Self,F,AB,Smallpox,29,148656,33.2
G4815633Y,John Long,M,B,Food Poisoning,47,508254,32.7
T7296403I,Brenda Barnes,M,O,Rabies,56,445144,33.4
G2715381D,Christopher Voigt,M,O,Rubella,83,455058,22.1
F4050008A,Russell Griffin,M,B,Tuberculosis,86,760040,28.7
G8566338A,Martin Lafromboise,F,AB,Plague,29,537130,26.8
G3807540Z,Maybelle Bartels,F,A,Measles,53,761460,27.2
S3751185O,Dale Selvester,F,A,Conjunctivitis,35,805288,19.4
S1046510X,Kimberly Mcilvaine,F,A,COVID-19,22,611294,24.6
S1560489G,Shannon Brixey,M,AB,Rubella,48,460811,36.4
F9245691U,Gerald Gray,M,AB,Diphtheria,32,183248,24.3
G0369435I,Susan Barnes,F,AB,Hepatitis,20,797062,31.4
T5239181M,Alex Bennett,F,AB,Anthrax,81,373247,34.3
G4679402H,Hazel Mobley,M,A,Food Poisoning,76,452291,35.5
F6290936M,Lottie Greenberg,M,AB,Plague,19,141280,27.4
F2316618U,Warren Flakes,F,B,Pneumococcal,55,485855,27.6
G7554950U,Dorothy Hackworth,M,AB,Rubella,29,699499,29.5
F4031747H,Martha Guthmiller,M,A,Nipah,75,474848,33.0
F1745965T,Jerold Gregg,F,AB,Mumps,33,448415,33.9
T0195951W,Kelly Scott,M,AB,Plague,38,439830,19.6
T4166732V,Louis Kelly,M,A,Diphtheria,18,429638,33.8
T7352543K,Deborah Wright,F,B,Rubella,19,533230,38.7
T3910298G,Scott Justen,F,O,Diphtheria,55,249800,28.1
G7141904U,Curtis Glaspie,F,B,Rabies,25,647987,26.3
F2798661F,Mary Boyter,M,B,Measles,56,289649,25.8
S7121759X,Colleen Sperling,M,AB,Chikungunya,24,440588,37.6
F6869859H,Kerry Whitehead,M,B,Pneumococcal,63,787128,34.3
G1107125G,Zachary James,M,B,Plague,42,579410,22.3
F9050482Y,Bobby Ragsdale,F,A,Rubella,32,226059,35.6
G1546049F,Martin Bouton,M,B,Food Poisoning,76,575752,37.2
G0635047K,Sydney Murphy,M,AB,Hepatitis,44,774921,22.4
G3094777X,Fay Sampson,M,B,COVID-19,58,618116,36.4
F2151250Q,William Taylor,M,B,Rubella,87,786565,39.7
G1915197S,Allison Roldan,M,O,Chickenpox,30,685903,28.1
G0833896Q,Cornelius Brack,M,A,Malaria,55,776624,35.4
G9574052U,Robert Chisholm,M,AB,Tuberculosis,83,375942,29.4
S3156749S,Phyllis Woodson,M,B,Rubella,86,735471,25.9
G7148064I,Ethan Figueroa,M,O,Chikungunya,50,134696,30.4
T2606320O,Sharon Mckenna,M,O,Measles,79,545014,33.9
G0555805X,Joshua Mcquaid,F,AB,Plague,24,657624,33.3
F2468204S,Shawn Moretto,M,O,COVID-19,82,471700,27.5
F4610360A,Rachel Wilson,F,B,Diphtheria,86,710057,35.1
G4468427S,Terry Long,F,B,Rubella,57,587104,22.8
G9526407M,James Jones,M,B,Rubella,43,711376,27.1
G7250907D,Robert Demartino,F,AB,Typhoid,54,233650,35.9
F6875667S,William White,F,AB,Rubella,42,458589,34.5
F6378438N,John Weston,F,B,Dengue,32,671428,30.8
G9757545I,Tracy Saddler,M,B,Conjunctivitis,42,360234,38.9
S1738374H,Cheryl Otsuka,M,B,Influenza,53,210460,21.0
S2596173D,Earl Hardy,M,O,Conjunctivitis,42,516086,20.1
S1095641Y,Tammy Olivas,F,A,Rubella,54,540232,21.9
G9268927V,Debbie Ahern,M,A,Dengue,83,763598,31.6
T1806886A,Sherry Johnson,F,A,Dengue,68,111197,22.6
T2596606L,Jeremy Saldana,F,O,COVID-19,60,607617,26.1
G5573754J,James Hubbard,M,B,Cholera,23,513717,33.5
S8512829C,Houston Prosser,F,O,Malaria,59,423198,28.3
T2000909W,Cathy Whisby,M,A,Plague,48,568576,20.5
F1556126W,Elizabeth Batchelor,F,B,COVID-19,81,453853,34.6
F6110357C,Lee Wells,M,A,Hepatitis,63,490103,37.3
G1318260T,Marc Wesler,F,A,Plague,34,798951,34.1
S9210367D,John Burnette,M,AB,Cholera,28,244526,36.7
F8567098Q,Nathan Meath,M,O,Rubella,79,716012,32.6
G0842159I,Susan Kelly,F,O,Chikungunya,34,303138,39.1
S1981075N,Jonathon Villela,F,B,Mumps,76,644583,29.6
G3400092J,Sidney Mangual,F,B,Dengue,78,686500,26.6
S2261799H,Billy Ganley,F,O,Influenza,40,648347,22.7
F3869132U,Scott Faria,F,A,Nipah,43,622454,25.8
G7577756Q,Angel Wolcott,F,B,Typhoid,39,338219,26.1
S9640349A,Mattie Larson,F,O,Typhoid,43,731521,39.3
S5470977W,Marion Mitchell,F,AB,Anthrax,71,618025,34.8
S0021456N,Sophie Bray,F,A,Rubella,78,529058,24.5
G1589298F,Terry Radford,F,A,Chickenpox,41,582887,32.1
G8006385N,Adrian Benavidez,F,AB,Malaria,86,691065,21.0
F6826257S,Eduardo Watson,M,B,Influenza,41,203696,33.9
S2946031N,Buddy Shelton,F,A,Chickenpox,74,602218,33.2
F9937125N,Hunter Gaunt,M,O,COVID-19,85,612455,20.0
T2779739C,Ronnie Harris,M,AB,Plague,56,399920,36.2
F1521617C,Edward Simmions,M,B,Plague,21,379380,32.6
S4476790U,Richard Christensen,F,B,Influenza,78,503984,33.8
S6420148Q,Lisa French,M,O,Rabies,19,329500,29.3
G3309984I,Elaine Allen,M,AB,Hepatitis,55,806833,32.2
S3114702U,Amanda Belcher,M,A,Dengue,59,765733,21.4
G2265456Q,Anthony Vasquez,M,B,Mumps,36,133957,35.7
F7676825E,Christopher Burge,F,A,Anthrax,47,556837,34.5
T5084788O,Sonya Griffin,F,O,Anthrax,65,731886,19.2
S1468035F,Goldie Steckler,M,O,Chikungunya,41,642157,33.5
G2346618T,Kelly Goldade,F,B,Dengue,23,319132,39.8
S2266901D,Nicolas Mcghee,F,A,Tuberculosis,64,650867,35.7
S0750613A,Briana Trexler,M,A,Measles,30,415710,33.7
S0089359E,Lavon Wertheimer,M,O,Conjunctivitis,84,116519,27.0
T7456455T,Kenneth Garcia,F,O,Food Poisoning,84,474867,36.4
F3585551H,Betty Cash,F,A,Chickenpox,74,616676,36.3
G1517455Y,William Mendoza,M,AB,Diphtheria,73,366821,34.1
G6876871N,David Pierson,F,B,Malaria,54,552381,29.4
G5871567X,Gertrude Martinez,M,B,Anthrax,64,102629,27.4
S1261518Y,Mary Baskerville,F,B,Cholera,75,607961,26.1
F5257497C,Willie Holmes,F,O,Diphtheria,71,271794,20.1
F8305995Z,Margaret Mann,F,O,Diphtheria,35,628962,37.4
T2136378I,Edwin Walters,M,A,Anthrax,43,108576,22.4
F1572677M,William Jones,M,AB,Typhoid,41,312909,33.6
S9403965O,Leonard Poindexter,M,AB,Dengue,79,415491,21.9
G6055008U,David Robinson,F,A,Plague,79,222129,23.9
T5945506M,Betty Leising,F,A,Influenza,39,721053,20.9
F2711192L,Maria Vasquez,M,AB,Hepatitis,28,606031,37.3
T4610215O,Velda Hernandez,M,O,Chickenpox,59,395244,28.8
G4589083Y,Joseph Gilchrist,M,O,Cholera,61,534943,21.6
T2691604P,Sharon Desilva,F,A,Dengue,35,249396,38.4
G1223535N,Michael Simonds,F,B,Cholera,86,511942,30.1
S8343660H,Sandra Ray,F,B,Tuberculosis,28,651377,19.7
G7271101O,Celia Doan,M,B,Anthrax,64,362243,33.3
S0871458N,Virginia Slawson,M,A,Tuberculosis,43,602882,20.6
